Estados NFA;Estado DFA;_;P;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;v;w;x;y;z
->{q0};q0;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q137};q1;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q138};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q138};q2;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q139};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61,q139};q3;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65,q140};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q63};q4;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q64,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q64,q109};q5;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q110};q6;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0,q111};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q111};q7;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q112};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q112};q8;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q113};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q45};q9;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q46,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q46,q109};q10;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q47};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q38,q47};q11;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q48,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q48,q69};q12;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q49};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q49};q13;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q70};q14;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57,q71};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q77,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q77,q109};q15;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q78,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q78,q116};q16;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69,q79};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q69,q79};q17;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q80};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q80};q18;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q117};q19;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q118};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81,q121};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q81,q121};q20;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86,q122};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
{q0,q104,q137};q21;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q138};{q0,q61,q105};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61,q105};q22;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q106,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q106,q109};q23;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10,q107};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q10,q107};q24;{q0,q142};{q0};{q0,q1,q11};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q14,q108};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q17};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q17};q25;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q18};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q18};q26;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q19,q81};{q0,q33,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q33,q109};q27;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q34,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q34,q61};q28;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q35,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q35,q63};q29;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q64,q109};{q0,q36,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q36,q116};q30;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q37,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q37,q38};q31;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q19,q81};q32;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q20,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
*{q0,q20,q95,q109};q33;{q0,q142};{q0};{q0,q1,q96};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69,q100};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q69,q100};q34;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q101,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q101,q116};q35;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10,q102};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q10,q102};q36;{q0,q142};{q0};{q0,q1,q11};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q14};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q17};{q0};{q0,q69};{q0,q81};{q0,q103,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q103,q109};q37;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q14};q38;{q0,q142};{q0};{q0,q1,q15};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q15};q39;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q16,q69};{q0,q81};{q0,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q2,q116};q40;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q3,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q3,q109};q41;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q4};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
*{q0,q4};q42;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q16,q69};q43;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q96};q44;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q97,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q97,q109};q45;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q98};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q61,q98};q46;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10,q99};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q10,q99};q47;{q0,q142};{q0};{q0,q1,q11};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q14};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q17};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61,q86};q48;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57,q87};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0,q91}
{q0,q91};q49;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q92};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q92};q50;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0,q93};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q93};q51;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q94};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q50,q94};q52;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q51,q65};{q0};{q0};{q0,q55};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q55};q53;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q56,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q56,q69};q54;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q51,q65};q55;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q52,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q52,q66};q56;{q0,q142};{q0};{q0,q1,q53};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q67};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q67};q57;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57,q68};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q57,q68};q58;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q58};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q58};q59;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q59,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q59,q109};q60;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q60};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
*{q0,q60};q61;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q53};q62;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q54,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q54,q109};q63;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q57,q87};q64;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q88};{q0,q58};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q88};q65;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q89};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q89};q66;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q90};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q21,q90};q67;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q28};q68;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q29,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q29,q116};q69;{q0,q142};{q0};{q0,q1};{q0,q5,q30};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q5,q30};q70;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q31,q65};{q0};{q0};{q0};{q0};{q0,q6,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q6,q69};q71;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q7,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q7,q38,q70};q72;{q0,q142};{q0};{q0,q1,q8};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57,q71};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q77,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q1,q8};q73;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0,q9};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
