Estados NFA;Estado DFA;_;P;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;v;w;x;y;z
*{q0,q9};q74;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q31,q65};q75;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q32,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q66};q76;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q67};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q32,q38};q77;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q22,q38};q78;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q23,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q23,q50};q79;{q0,q142};{q0};{q0,q1,q24};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q51,q65};{q0};{q0};{q0,q55};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q24};q80;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q2,q25,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q2,q25,q116};q81;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q26,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q3,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q26,q65};q82;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q27,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q27,q109};q83;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
*{q0,q14,q108};q84;{q0,q142};{q0};{q0,q1,q15};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q11};q85;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q12,q81};{q0,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q12,q81};q86;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q13,q38};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
*{q0,q13,q38};q87;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q95,q109};q88;{q0,q142};{q0};{q0,q1,q96};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69,q100};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q61,q86,q122};q89;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57,q87,q123};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0,q91}
{q0,q57,q87,q123};q90;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q88,q124};{q0,q58};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q88,q124};q91;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q89,q125};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q89,q125};q92;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q90,q126};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q21,q90,q126};q93;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q82};q94;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q83};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q83};q95;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69,q84};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q69,q84};q96;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q85,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q85,q109};q97;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q61,q118};q98;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0,q119};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q119};q99;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q120};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q120};q100;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q57,q71};q101;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q72};{q0};{q0,q65};{q0};{q0};{q0,q58};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61,q72};q102;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q73,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q73,q81};q103;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q74,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
{q0,q74,q95,q109};q104;{q0,q142};{q0};{q0,q1,q96};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q75};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69,q100};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q38,q75};q105;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69,q76};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q69,q76};q106;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q42};q107;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q43,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q43,q116};q108;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0,q44};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q44};q109;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q39,q65};q110;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q40,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q40,q81};q111;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q41};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
*{q0,q38,q41};q112;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q21,q113};q113;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38,q114};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q22,q38,q114};q114;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q23,q50,q115};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q23,q50,q115};q115;{q0,q142};{q0};{q0,q1,q24};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q51,q65};{q0};{q0};{q0,q55};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q65,q140};q116;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q141};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q38,q141};q117;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q50,q62};q118;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q51,q65};{q0};{q0};{q0,q55};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q127};q119;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q128};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q128};q120;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q129};{q0};{q0,q65,q131};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q65,q131};q121;{q0,q142};{q0};{q0,q1,q132};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q132};q122;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109,q133};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q109,q133};q123;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q134};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q61,q134};q124;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65,q135};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q65,q135};q125;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q136};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q38,q136};q126;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q61,q129};q127;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q130};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q21,q130};q128;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q116};q129;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q117};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q109};q130;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q81};q131;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q82};{q0,q61,q86};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q95,q109};{q0,q116};{q0,q127};{q0,q104,q137};{q0};{q0};{q0}
{q0,q69};q132;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q70};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q65};q133;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q66};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61};q134;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q57};q135;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q58};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q50};q136;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q51,q65};{q0};{q0};{q0,q55};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38};q137;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q21};q138;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q10};q139;{q0,q142};{q0};{q0,q1,q11};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q14};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q17};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q5};q140;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q6,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1};q141;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q142};q142;{q0,q142};{q0,q143};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q143};q143;{q0,q142};{q0};{q0,q1,q144};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q1,q144};q144;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10,q145};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q2,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q10,q145};q145;{q0,q142};{q0};{q0,q1,q11};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q14};{q0,q61};{q0,q146};{q0,q65};{q0};{q0};{q0,q17};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q146};q146;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q147};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q147};q147;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q148};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
*{q0,q21,q148};q148;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q22,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0,q28};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
